dia,output
43489,3.7733
43488,3.7663
43487,3.8152
43486,3.755
43483,3.7517
43482,3.7504
43481,3.7366
43480,3.7172
43479,3.6991
43478,3.7113
43476,3.7113
43475,3.7105
43474,3.6807
43473,3.7133
43472,3.7356
43471,3.7144
43469,3.7155
43468,3.7565
43467,3.79
43466,3.8813
43465,3.8813
43464,3.8747
43462,3.8813
43461,3.8735
43460,3.922
43459,3.904
43458,3.904
43457,3.9053
43455,3.904
43454,3.8422
43453,3.8977
43452,3.9124
43451,3.8995
43450,3.917
43448,3.9171
43447,3.8911
43446,3.8555
43445,3.904
43444,3.9181
43443,3.9073
43441,3.9075
43440,3.8793
43439,3.8686
43438,3.8525
43437,3.8423
43436,3.8667
43434,3.8669
43433,3.8527
43432,3.851
43431,3.8752
43430,3.941
43429,3.8272
43427,3.8283
43426,3.8045
43425,3.7976
43424,3.7572
43423,3.757
43422,3.744
43420,3.7435
43419,3.7843
43418,3.7841
43417,3.8032
43416,3.7675
43415,3.7308
43413,3.7335
43412,3.7605
43411,3.7318
43410,3.7615
43409,3.7262
43408,3.7019
43406,3.6968
43405,3.7012
43404,3.722
43403,3.6974
43402,3.7187
43401,3.6431
43399,3.6429
43398,3.7058
43397,3.735
43396,3.6942
43395,3.686
43393,3.7124
43392,3.7149
43391,3.7216
43390,3.6875
43389,3.7252
43388,3.7357
43387,3.7831
43385,3.783
43384,3.7812
43383,3.7555
43382,3.7155
43381,3.779
43380,3.8373
43378,3.8413
43377,3.8745
43376,3.9015
43375,3.9414
43374,4.0181
43373,4.0542
43371,4.0491
43370,4.0123
43369,4.0322
43368,4.0757
43367,4.0928
43366,4.0515
43364,4.0516
43363,4.0771
43362,4.1315
43361,4.1604
43360,4.1324
43359,4.1736
43357,4.1742
43356,4.2077
43355,4.1579
43354,4.1535
43353,4.0867
43352,4.0453
43350,4.0597
43349,4.059
43348,4.1466
43347,4.1602
43346,4.159
43345,4.0552
43343,4.0556
43342,4.1495
43341,4.1074
43340,4.1342
43339,4.0775
43338,4.1053
43336,4.102
43335,4.1155
43334,4.0425
43333,4.0477
43332,3.97
43331,3.9123
43329,3.9116
43328,3.9072
43327,3.9055
43326,3.8673
43325,3.884
43324,3.8669
43322,3.8596
43321,3.8015
43320,3.7721
43319,3.7515
43318,3.7363
43317,3.7038
43315,3.708
43314,3.7503
43313,3.7499
43312,3.7563
43311,3.7307
43310,3.7126
43308,3.7114
43307,3.7462
43306,3.6886
43305,3.7481
43304,3.7826
43303,3.7722
43301,3.7681
43300,3.8295
43299,3.8512
43298,3.8388
43297,3.8605
43296,3.8509
43294,3.8518
43293,3.8822
43292,3.8773
43291,3.8152
43290,3.8727
43289,3.8674
43287,3.8628
43286,3.9327
43285,3.9137
43284,3.8975
43283,3.9129
43282,3.8771
43280,3.8771
43279,3.8624
43278,3.8628
43277,3.8016
43276,3.7767
43275,3.7878
43273,3.786
43272,3.7691
43271,3.7715
43270,3.7471
43269,3.747
43268,3.7301
43266,3.7296
43265,3.806
43264,3.7201
43263,3.7185
43262,3.7097
43261,3.7064
43259,3.7094
43258,3.9078
43257,3.8488
43256,3.8068
43255,3.7468
43254,3.7631
43252,3.7633
43251,3.7235
43250,3.7241
43249,3.7254
43248,3.7352
43247,3.6277
43245,3.6524
43244,3.6496
43243,3.6288
43242,3.6448
43241,3.6772
43238,3.737
43237,3.6966
43236,3.6761
43235,3.654
43234,3.6231
43231,3.5999
43230,3.5502
43229,3.5924
43228,3.5636
43227,3.5534
43224,3.5303
43223,3.5282
43222,3.5518
43221,3.5076
43220,3.5072
43217,3.4568
43216,3.4755
43215,3.485
43214,3.4714
43213,3.4527
43210,3.413
43209,3.3885
43208,3.3805
43207,3.408
43206,3.4194
43203,3.4223
43202,3.4133
43201,3.3746
43200,3.4088
43199,3.42
43196,3.3697
43195,3.3449
43194,3.3297
43193,3.3413
43192,3.3112
43189,3.3051
43188,3.306
43187,3.3205
43186,3.3288
43185,3.3119
43182,3.3123
43181,3.3159
43180,3.2725
43179,3.3117
43178,3.2862
43175,3.2811
43174,3.2862
43173,3.2607
43172,3.2607
43171,3.2622
43168,3.2553
43167,3.2669
43166,3.2454
43165,3.2117
43164,3.243
43161,3.2528
43160,3.2515
43159,3.2462
43158,3.2516
43157,3.2258
43154,3.2379
43153,3.2502
43152,3.2692
43151,3.2557
43150,3.2346
43147,3.2312
43146,3.2279
43145,3.2174
43144,3.2957
43143,3.2954
43140,3.2942
43139,3.2858
43138,3.2714
43137,3.2348
43136,3.2625
43133,3.2181
43132,3.1669
43131,3.1859
43130,3.1812
43129,3.155
43126,3.151
43125,3.1485